Country,Happiness Score,Beer Consumption,Beer Price,Beer Brand
Kyrgyzstan,,6.56,1.07,Karagandinskoye
Angola,,33.4,,
Finland,,68.4,7.0,Olvi beer
Burundi,,18.2,,
Cuba,,12.9,1.85,
Papua New Guinea,,6.84,2.69,
Trinidad and Tobago,,34.3,,Carib Lager
Guyana,,45.1,1.98,
Central African Republic,,5.93,,
Bhutan,,32.6,,
Haiti,,2.07,,Prestige
Suriname,,36.4,,
Belize,,56.3,,BELIKIN BEER
South Sudan,,1.85,,
Guinea Bissau,,8.95,,
Oman,,3.87,10.83,
Qatar,,6.3,,
Fiji,,15.7,2.52,
French Polynesia,,46.1,,
New Caledonia,,43.9,,
Macau,,16.4,,
Cape Verde,,17.2,,STRELA
Barbados,,27.2,2.32,Banks
Saint Lucia,,44.6,,
Seychelles,,74.3,,
Timor Leste,,4.17,,
Solomon Islands,,8.97,,
Syria,,0.21,1.39,
Samoa,,17.9,,
Sudan,,0.07,,
Maldives,,6.37,,LION LAGER
Bahamas,,8.42,,KALIK
Grenada,,26.5,,
Saint Vincent and the Grenadines,,30.2,,
Dominica,,43.0,,Kubuli
Sao Tome and Principe,,9.39,,
Antigua and Barbuda,,25.6,,
Djibouti,,1.29,,
Kiribati,,5.07,,
Micronesia,,10.5,,
Saint Kitts and Nevis,,20.6,,
Somalia,,0.01,,
Vanuatu,,0.89,,
Marshall Islands,,14.1,,
Nauru,,0.79,,
Hong Kong (China),,,7.15,
Macao (China),,,5.38,
Puerto Rico,,,2.32,
Bosnia And Herzegovina,,,2.04,
Kosovo (Disputed Territory),,,2.0,
Trinidad And Tobago,,,1.63,
